Age,Department,Gender,MaritalStatus,BusinessTravel,EducationField,DistanceFromHome,JobLevel,JobSatisfaction,EnvironmentSatisfaction,JobInvolvement,WorkLifeBalance,OverTime,MonthlyIncome,NumCompaniesWorked,TotalWorkingYears,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,TrainingTimesLastYear,PerformanceRating,PercentSalaryHike,JobRole,Attrition,Attrition_Flag,Age_Group,Salary_Slab,Tenure_Group
24,Human Resources,Male,Divorced,Travel_Rarely,Life Sciences,18,2,1,2,3,3,Yes,5517,1,7,6,5,4,10,1,3,13,Human Resources,No,0,18-25,3K-6K,6-10 years
27,Research & Development,Female,Single,Travel_Frequently,Life Sciences,1,1,4,4,3,2,Yes,4529,3,17,3,5,0,4,1,3,20,Research Director,No,0,26-35,3K-6K,2-5 years
40,Research & Development,Female,Married,Travel_Frequently,Life Sciences,22,4,1,3,3,3,No,3416,3,23,10,8,0,0,1,3,25,Research Director,No,0,36-45,3K-6K,6-10 years
28,Research & Development,Male,Single,Non-Travel,Life Sciences,12,2,3,3,4,4,No,1920,3,12,6,5,6,5,3,3,12,Laboratory Technician,No,0,26-35,< 3K,6-10 years
33,Research & Development,Male,Single,Non-Travel,Other,5,1,3,4,4,4,No,3555,0,29,11,2,0,4,4,3,11,Healthcare Representative,No,0,26-35,3K-6K,10+ years
48,Sales,Male,Married,Travel_Frequently,Other,2,2,2,2,3,1,No,3068,3,20,16,0,2,0,1,3,11,Sales Executive,No,0,46-60,3K-6K,10+ years
33,Sales,Female,Single,Travel_Rarely,Marketing,16,1,3,2,4,3,No,13095,4,28,2,8,0,0,4,3,19,Sales Representative,No,0,26-35,10K+,2-5 years
43,Research & Development,Female,Married,Travel_Frequently,Life Sciences,3,1,2,1,1,4,No,18070,1,11,10,5,5,11,3,4,15,Healthcare Representative,No,0,36-45,10K+,6-10 years
28,Sales,Female,Single,Travel_Frequently,Human Resources,12,1,3,3,2,3,Yes,5057,2,0,10,15,0,5,5,4,23,Sales Representative,No,0,26-35,3K-6K,6-10 years
34,Research & Development,Male,Married,Travel_Frequently,Marketing,3,1,1,3,3,2,No,2401,5,5,9,4,2,10,2,3,23,Research Director,No,0,26-35,< 3K,6-10 years
27,Research & Development,Male,Married,Travel_Rarely,Life Sciences,8,1,4,4,3,2,No,7804,0,6,3,5,5,2,3,3,18,Manufacturing Director,No,0,26-35,6K-10K,2-5 years
33,Research & Development,Male,Married,Travel_Rarely,Medical,16,4,3,3,3,3,No,3032,3,3,4,5,4,1,2,4,11,Healthcare Representative,No,0,26-35,3K-6K,2-5 years
44,Human Resources,Male,Single,Non-Travel,Medical,5,2,3,2,3,3,No,3844,4,0,2,7,1,0,1,3,19,Human Resources,No,0,36-45,3K-6K,2-5 years
20,Research & Development,Female,Married,Travel_Rarely,Life Sciences,22,4,1,2,4,4,No,3680,1,19,2,0,0,8,4,4,16,Healthcare Representative,No,0,18-25,3K-6K,2-5 years
40,Research & Development,Female,Divorced,Travel_Rarely,Medical,12,1,3,1,2,4,No,3949,2,0,1,4,2,6,4,3,23,Research Director,No,0,36-45,3K-6K,0-1 years
38,Research & Development,Female,Single,Travel_Rarely,Marketing,3,3,3,4,3,3,No,4278,2,18,5,7,0,2,6,3,21,Research Director,No,0,36-45,3K-6K,2-5 years
31,Sales,Female,Single,Travel_Rarely,Life Sciences,2,1,2,1,3,3,No,2525,1,28,1,3,2,1,1,3,25,Sales Representative,No,0,26-35,< 3K,0-1 years
23,Research & Development,Female,Divorced,Travel_Rarely,Medical,4,1,3,4,3,2,No,3534,4,5,9,7,2,9,4,3,16,Manufacturing Director,No,0,18-25,3K-6K,6-10 years
37,Research & Development,Male,Single,Non-Travel,Medical,8,3,1,1,2,2,No,9112,1,14,6,4,1,3,3,3,15,Healthcare Representative,No,0,36-45,6K-10K,6-10 years
31,Sales,Male,Married,Travel_Frequently,Marketing,23,1,2,3,2,1,No,5105,3,8,7,6,6,3,4,3,18,Sales Manager,No,0,26-35,3K-6K,6-10 years
38,Research & Development,Male,Married,Non-Travel,Other,26,2,4,1,3,4,Yes,5571,3,18,4,9,0,2,4,3,23,Research Scientist,No,0,36-45,3K-6K,2-5 years
36,Research & Development,Male,Single,Travel_Rarely,Technical Degree,5,3,1,4,3,2,No,1523,1,1,6,3,0,2,2,3,18,Research Scientist,No,0,36-45,< 3K,6-10 years
50,Research & Development,Male,Married,Travel_Rarely,Medical,5,2,2,2,3,3,No,8758,1,10,5,0,1,6,1,3,16,Research Scientist,No,0,46-60,6K-10K,2-5 years
34,Research & Development,Male,Married,Travel_Rarely,Medical,14,2,3,3,2,3,Yes,3567,2,20,11,3,3,0,4,3,24,Research Scientist,No,0,26-35,3K-6K,10+ years
27,Research & Development,Female,Single,Travel_Rarely,Medical,14,1,4,4,3,3,Yes,9649,0,11,3,1,2,4,2,3,16,Laboratory Technician,No,0,26-35,6K-10K,2-5 years
38,Sales,Male,Divorced,Travel_Rarely,Medical,20,1,1,3,3,3,No,5660,5,0,8,0,2,8,1,3,24,Sales Executive,No,0,36-45,3K-6K,6-10 years
38,Research & Development,Female,Single,Travel_Frequently,Life Sciences,20,5,1,1,4,1,Yes,3817,2,21,0,4,0,4,8,3,20,Research Scientist,Yes,1,36-45,3K-6K,0-1 years
48,Sales,Female,Married,Non-Travel,Medical,4,1,3,4,3,3,No,2067,2,1,10,5,0,8,2,4,11,Sales Manager,No,0,46-60,< 3K,6-10 years
44,Human Resources,Female,Divorced,Travel_Rarely,Marketing,2,1,3,3,3,3,Yes,17199,2,12,3,8,1,9,4,3,18,HR Manager,No,0,36-45,10K+,2-5 years
39,Research & Development,Female,Single,Travel_Rarely,Medical,13,1,3,1,3,4,Yes,8089,4,16,1,0,1,8,3,3,21,Research Scientist,No,0,36-45,6K-10K,0-1 years
49,Research & Development,Male,Divorced,Travel_Rarely,Technical Degree,10,4,3,3,3,3,Yes,8359,1,12,0,4,6,2,4,4,24,Laboratory Technician,No,0,46-60,6K-10K,0-1 years
25,Sales,Female,Single,Travel_Rarely,Medical,1,3,4,4,3,4,No,14140,2,31,0,9,3,4,4,4,19,Sales Representative,No,0,18-25,10K+,0-1 years
30,Research & Development,Male,Married,Travel_Rarely,Life Sciences,2,2,4,3,2,3,No,5882,1,17,3,2,1,5,5,3,11,Research Director,No,0,26-35,3K-6K,2-5 years
28,Sales,Female,Single,Travel_Rarely,Life Sciences,12,4,2,4,4,2,No,10941,1,9,15,6,6,2,1,3,16,Sales Executive,No,0,26-35,10K+,10+ years
32,Sales,Male,Married,Travel_Rarely,Life Sciences,7,1,1,3,3,3,No,3997,2,16,2,10,4,2,1,3,25,Sales Manager,No,0,26-35,3K-6K,2-5 years
24,Research & Development,Male,Divorced,Travel_Rarely,Life Sciences,12,4,2,3,3,4,No,7802,2,13,0,0,0,2,2,3,18,Research Scientist,No,0,18-25,6K-10K,0-1 years
42,Research & Development,Female,Divorced,Travel_Frequently,Medical,3,1,1,2,3,2,Yes,3677,1,11,8,5,0,14,2,3,16,Manufacturing Director,No,0,36-45,3K-6K,6-10 years
34,Research & Development,Female,Divorced,Travel_Rarely,Life Sciences,13,2,2,4,3,2,Yes,3941,2,13,0,9,0,3,2,4,24,Manufacturing Director,No,0,26-35,3K-6K,0-1 years
23,Research & Development,Male,Married,Travel_Rarely,Life Sciences,11,1,4,2,2,4,No,5485,4,8,11,3,4,8,5,3,17,Laboratory Technician,No,0,18-25,3K-6K,10+ years
27,Research & Development,Female,Married,Travel_Rarely,Life Sciences,14,5,2,1,2,4,Yes,2590,5,13,3,10,5,1,6,3,22,Research Scientist,No,0,26-35,< 3K,2-5 years
39,Research & Development,Male,Married,Travel_Rarely,Marketing,6,4,1,2,2,2,No,6233,1,7,4,7,0,11,2,4,11,Manufacturing Director,No,0,36-45,6K-10K,2-5 years
44,Sales,Female,Divorced,Travel_Rarely,Marketing,5,2,3,4,2,3,No,4380,3,0,13,11,4,2,4,4,19,Sales Manager,No,0,36-45,3K-6K,10+ years
54,Sales,Male,Married,Travel_Frequently,Life Sciences,2,1,4,2,1,3,No,1743,2,20,10,6,4,4,4,3,11,Sales Representative,No,0,46-60,< 3K,6-10 years
60,Sales,Male,Divorced,Travel_Frequently,Life Sciences,6,1,2,2,3,3,No,4043,4,6,0,11,7,0,3,3,13,Sales Manager,No,0,46-60,3K-6K,0-1 years
40,Research & Development,Male,Single,Travel_Rarely,Life Sciences,17,2,4,1,2,3,No,4301,2,12,0,5,5,8,2,3,19,Laboratory Technician,No,0,36-45,3K-6K,0-1 years
27,Research & Development,Male,Married,Travel_Rarely,Life Sciences,20,1,4,1,4,4,No,8312,4,5,0,0,7,9,5,3,20,Healthcare Representative,No,0,26-35,6K-10K,0-1 years
18,Research & Development,Male,Married,Travel_Rarely,Life Sciences,3,1,3,4,4,2,No,6083,2,5,22,1,4,0,3,3,12,Research Director,No,0,18-25,6K-10K,10+ years
38,Research & Development,Male,Single,Travel_Rarely,Life Sciences,8,2,3,3,2,3,No,11528,2,3,1,8,4,9,5,3,18,Laboratory Technician,No,0,36-45,10K+,0-1 years
29,Sales,Male,Single,Travel_Rarely,Life Sciences,23,2,3,4,3,1,No,6922,2,19,13,8,1,0,1,3,17,Sales Manager,No,0,26-35,6K-10K,10+ years
32,Research & Development,Male,Divorced,Travel_Frequently,Other,26,4,2,4,3,3,No,3834,3,21,3,3,5,7,2,3,17,Research Director,No,0,26-35,3K-6K,2-5 years
30,Research & Development,Male,Married,Travel_Rarely,Medical,6,2,3,2,4,3,No,5036,1,11,0,11,0,3,2,3,23,Manufacturing Director,No,0,26-35,3K-6K,0-1 years
35,Sales,Male,Single,Travel_Rarely,Technical Degree,18,1,1,4,3,3,No,4294,3,7,6,3,2,9,4,3,25,Sales Representative,No,0,26-35,3K-6K,6-10 years
46,Research & Development,Female,Married,Travel_Rarely,Life Sciences,16,2,4,4,3,4,No,6801,4,0,4,6,4,5,2,3,12,Research Scientist,No,0,46-60,6K-10K,2-5 years
